"","f1","f2","f3","f4","f5","f6","f7","f8"
"411",0.1,0.1,0.1,0.1,0.15,0.15,0.15,0.15
"412",1,0,0,0,0,0,0,0
"413",0.95,0,0,0,0,0,0,0.05
"414",0.9,0,0,0,0,0,0,0.1
"415",0.85,0,0,0,0,0,0,0.15
"416",0.8,0,0,0,0,0,0,0.2
"417",0.75,0,0,0,0,0,0,0.25
"418",0.7,0,0,0,0,0,0,0.3
"419",0.65,0,0,0,0,0,0,0.35
"420",0.6,0,0,0,0,0,0,0.4
"421",0.55,0,0,0,0,0,0,0.45
"422",0.5,0,0,0,0,0,0,0.5
"423",0.9,0,0,0,0,0,0.05,0.05
"424",0.85,0,0,0,0,0,0.05,0.1
"425",0.8,0,0,0,0,0,0.05,0.15
"426",0.75,0,0,0,0,0,0.05,0.2
"427",0.7,0,0,0,0,0,0.05,0.25
"428",0.65,0,0,0,0,0,0.05,0.3
"429",0.6,0,0,0,0,0,0.05,0.35
"430",0.55,0,0,0,0,0,0.05,0.4
"431",0.5,0,0,0,0,0,0.05,0.45
"432",0.8,0,0,0,0,0,0.1,0.1
"433",0.75,0,0,0,0,0,0.1,0.15
"434",0.7,0,0,0,0,0,0.1,0.2
"435",0.65,0,0,0,0,0,0.1,0.25
"436",0.6,0,0,0,0,0,0.1,0.3
"437",0.55,0,0,0,0,0,0.1,0.35
"438",0.5,0,0,0,0,0,0.1,0.4
"439",0.45,0,0,0,0,0,0.1,0.45
"440",0.7,0,0,0,0,0,0.15,0.15
"441",0.65,0,0,0,0,0,0.15,0.2
"442",0.6,0,0,0,0,0,0.15,0.25
"443",0.55,0,0,0,0,0,0.15,0.3
"444",0.5,0,0,0,0,0,0.15,0.35
"445",0.45,0,0,0,0,0,0.15,0.4
"446",0.6,0,0,0,0,0,0.2,0.2
"447",0.55,0,0,0,0,0,0.2,0.25
"448",0.5,0,0,0,0,0,0.2,0.3
"449",0.45,0,0,0,0,0,0.2,0.35
"450",0.4,0,0,0,0,0,0.2,0.4
"451",0.5,0,0,0,0,0,0.25,0.25
"452",0.45,0,0,0,0,0,0.25,0.3
"453",0.4,0,0,0,0,0,0.25,0.35
"454",0.4,0,0,0,0,0,0.3,0.3
"455",0.85,0,0,0,0,0.05,0.05,0.05
"456",0.8,0,0,0,0,0.05,0.05,0.1
"457",0.75,0,0,0,0,0.05,0.05,0.15
"458",0.7,0,0,0,0,0.05,0.05,0.2
"459",0.65,0,0,0,0,0.05,0.05,0.25
"460",0.6,0,0,0,0,0.05,0.05,0.3
"461",0.55,0,0,0,0,0.05,0.05,0.35
"462",0.5,0,0,0,0,0.05,0.05,0.4
"463",0.45,0,0,0,0,0.05,0.05,0.45
"464",0.75,0,0,0,0,0.05,0.1,0.1
